representative,transaction_date,ticker,asset_description,amount,type
Hon. Michael T. McCaul,2020-11-29,NFG,NATIONAL FUEL GAS COMPANY,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-03,CW,CURTISS WRIGHT CORP,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-10-29,NFG,NATIONAL FUEL GAS COMPANY,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-03,CW,CURTISS WRIGHT CORP,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-02,NFG,NATIONAL FUEL GAS COMPANY,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-05,CW,CURTISS-WRIGHT CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-20,MUR,MURPHY OIL,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-13,NFG,NATIONAL FUEL GAS COMPANY,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-03,NFG,NATIONAL FUEL GAS COMPANY,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-16,NFG,NATIONAL FUEL GAS COMPANY,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-02,BKR,BAKER HUGHES COMPANY A GE COMPANY,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-17,CVS,CVS HEALTH CORP,"$250,001 - $500,000",sale_full
Hon. Michael T. McCaul,2020-11-02,KR,KROGER,"$250,001 - $500,000",sale_full
Hon. Michael T. McCaul,2020-11-19,MUR,MURPHY OIL,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-04,CW,CURTISS-WRIGHT CORP,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-13,MRK,MERCK & CO INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-02,CW,CURTISS-WRIGHT CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-10-29,NFG,NATIONAL FUEL GAS,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-03,CW,CURTISS-WRIGHT CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-02,NFG,NATIONAL FUEL GAS,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-05,CW,CURTISS-WRIGHT CORP,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-20,MUR,MURPHY OIL,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-13,NFG,NATIONAL FUEL GAS,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-03,NFG,NATIONAL FUEL GAS,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-16,NFG,NATIONAL FUEL GAS,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-17,BKR,"BAKER HUGHES, A GE COMPANY","$1,001 - $15,000",sale_full
