disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2020,05/09/2020,2020-04-20,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,False,2020-04-20,171.49929809570312,2022-06-09,270.4100036621094
2020,05/12/2020,2020-04-20,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016587.pdf,False,2020-04-20,171.49929809570312,2022-06-09,270.4100036621094
2020,05/09/2020,2020-04-27,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,False,2020-04-27,170.50982666015625,2022-06-09,270.4100036621094
2021,01/15/2021,2020-12-10,joint,MSFT,Microsoft Corporation,purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018029.pdf,False,2020-12-10,207.85513305664065,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-25,joint,MSFT,Microsoft Corporation,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-25,226.6120452880859,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
2021,03/10/2021,2021-02-12,joint,MSFT,Microsoft Corporation,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018333.pdf,False,2021-02-12,241.88880920410156,2022-06-09,270.4100036621094
